2026-05-05 20:13:09 | INFO     | --- Re-scan #2  13:13 ET ---
2026-05-05 20:13:10 | INFO     | Universe: 501 symbols (custom override)
2026-05-05 20:13:10 | INFO     | Scanning 501 symbols...
2026-05-05 20:13:12 | DEBUG    | Alpaca batch ['MMM', 'AOS', 'ABT']... failed: {"message":"subscription does not permit querying recent SIP data"}

2026-05-05 20:13:12 | DEBUG    | Alpaca batch ['ADSK', 'ADP', 'AZO']... failed: {"message":"subscription does not permit querying recent SIP data"}

2026-05-05 20:13:12 | DEBUG    | Alpaca batch ['CMG', 'CB', 'CHD']... failed: {"message":"subscription does not permit querying recent SIP data"}

2026-05-05 20:13:12 | DEBUG    | Alpaca batch ['DLR', 'DG', 'DLTR']... failed: {"message":"subscription does not permit querying recent SIP data"}

2026-05-05 20:13:13 | DEBUG    | Alpaca batch ['FE', 'FISV', 'F']... failed: {"message":"subscription does not permit querying recent SIP data"}

2026-05-05 20:13:13 | DEBUG    | Alpaca batch ['PODD', 'INTC', 'IBKR']... failed: {"message":"subscription does not permit querying recent SIP data"}

2026-05-05 20:13:13 | DEBUG    | Alpaca batch ['MLM', 'MAS', 'MA']... failed: {"message":"subscription does not permit querying recent SIP data"}

2026-05-05 20:13:13 | DEBUG    | Alpaca batch ['OKE', 'ORCL', 'OTIS']... failed: {"message":"subscription does not permit querying recent SIP data"}

2026-05-05 20:13:13 | DEBUG    | Alpaca batch ['RCL', 'SPGI', 'CRM']... failed: {"message":"subscription does not permit querying recent SIP data"}

2026-05-05 20:13:14 | DEBUG    | Alpaca batch ['TFC', 'TYL', 'TSN']... failed: {"message":"subscription does not permit querying recent SIP data"}

2026-05-05 20:13:14 | DEBUG    | Alpaca batch ['ZTS']... failed: {"message":"subscription does not permit querying recent SIP data"}

2026-05-05 20:13:14 | INFO     | yfinance fallback for 501 symbol(s)
2026-05-05 20:13:56 | DEBUG    | Alpaca batch ['SPY']... failed: {"message":"subscription does not permit querying recent SIP data"}

2026-05-05 20:13:56 | INFO     | yfinance fallback for 1 symbol(s)
2026-05-05 20:13:57 | INFO     | Market regime: 🟢 BULL TREND — SPY above 200MA | ADX=30.9 | Slope20d=+13.4% | Slope50d=+13.4% | RealVol=12.2%
2026-05-05 20:13:58 | INFO     | Portfolio: $102,560.52 | Open: SNDK, MU, DDOG, CDNS | Regime: BULL_TREND (×1.0)
2026-05-05 20:16:44 | INFO     | Placing orders [PAPER] — 5 candidate(s), 4 already open
2026-05-05 20:16:44 | INFO     | Scan complete — 10 qualified, returning top 5 (regime=BULL_TREND)
2026-05-05 20:16:44 | INFO     | Universe: 501 symbols (custom override)
